Cliente,ID,Gasto_Mensual,Estado_Seguro
Pancha Gato Noble,636528X,250295,APROBADO
Pepe Leon Rojo,636861X,763953,APROBADO
Francisco Perro Gigante,767819X,879831,RECHAZADO (Riesgo Salud/Financiero)
Maria Condor Austral,491036X,70628,APROBADO
Maria Puma Salvage,386356X,829878,APROBADO
Maria Zorro Gigante,925502X,421131,APROBADO
Matias Ballena Salvage,367720X,109619,RECHAZADO (Riesgo Salud/Financiero)
Lucho Puma Austral,798486X,762848,APROBADO
Coty Perro Sigiloso,472472X,220575,APROBADO
Coty Condor Salvage,975020X,158624,APROBADO
Maria Puma Veloz,342857X,758639,APROBADO
Coty Nutria Austral,477970X,823456,APROBADO
Francisco Ballena Sigiloso,194447X,539424,RECHAZADO (Riesgo Salud/Financiero)
Lucho Condor Noble,271692X,780165,APROBADO
Francisco Ballena Austral,896894X,233037,APROBADO
Francisco Perro Audaz,695251X,424565,APROBADO
Lucho Condor Veloz,173622X,52999,RECHAZADO (Riesgo Salud/Financiero)
Pancha Huemul Veloz,682857X,95577,APROBADO
Pepe Ballena Gigante,462219X,226603,APROBADO
Lucho Puma Gigante,896983X,780568,APROBADO
Matias Ballena Rojo,7094X,602761,RECHAZADO (Riesgo Salud/Financiero)
Pancha Leon Salvage,999097X,508564,APROBADO
Pancha Condor Veloz,661965X,692106,APROBADO
Pepe Perro Austral,506296X,324473,RECHAZADO (Riesgo Salud/Financiero)
Maria Puma Audaz,914967X,206232,APROBADO
Maria Condor Audaz,805156X,737372,APROBADO
Sacha Puma Audaz,147380X,249485,APROBADO
Maria Nutria Veloz,223657X,705446,APROBADO
Coty Huemul Gigante,414696X,587405,APROBADO
Juan Zorro Salvage,354229X,743878,APROBADO
Lucho Puma Salvage,934599X,690591,APROBADO
Lucho Zorro Sigiloso,901611X,463347,RECHAZADO (Riesgo Salud/Financiero)
Matias Ballena Audaz,605609X,17284,RECHAZADO (Riesgo Salud/Financiero)
Pancha Perro Salvage,386694X,264382,APROBADO
Coty Gato Gigante,455034X,65243,RECHAZADO (Riesgo Salud/Financiero)
Matias Nutria Austral,898862X,424748,APROBADO
Pancha Ballena Rojo,374004X,175132,APROBADO
Lucho Leon Veloz,454622X,489582,APROBADO
Juan Leon Veloz,675433X,877679,APROBADO
Juan Condor Audaz,438030X,761992,RECHAZADO (Riesgo Salud/Financiero)
Francisco Leon Noble,106839X,117812,APROBADO
Pancha Perro Gigante,313393X,462293,APROBADO
Maria Gato Noble,338093X,316136,RECHAZADO (Riesgo Salud/Financiero)
Juan Huemul Sigiloso,914082X,728734,APROBADO
Pepe Gato Salvage,585646X,163108,APROBADO
Coty Huemul Austral,707247X,690443,APROBADO
Coty Puma Noble,982273X,421875,APROBADO
Francisco Condor Veloz,565560X,257626,APROBADO
Maria Perro Austral,489913X,87858,APROBADO
Lucho Leon Austral,801608X,83146,APROBADO
Pancha Ballena Salvage,927769X,220003,APROBADO
Pancha Huemul Veloz,769239X,667694,APROBADO
Pepe Gato Sigiloso,686712X,33436,APROBADO
Francisco Perro Audaz,570410X,382577,APROBADO
Coty Nutria Salvage,57039X,326649,APROBADO
Lucho Nutria Gigante,162835X,288592,APROBADO
Pepe Perro Audaz,200589X,750091,APROBADO
Pepe Gato Salvage,915561X,427274,APROBADO
Francisco Leon Audaz,291182X,840642,APROBADO
Coty Leon Sigiloso,192036X,781660,APROBADO
Pancha Perro Veloz,710709X,74079,APROBADO
Juan Gato Gigante,869046X,236974,APROBADO
Pancha Leon Rojo,644712X,542203,APROBADO
Juan Nutria Audaz,464260X,390110,RECHAZADO (Riesgo Salud/Financiero)
Pepe Puma Veloz,134001X,769745,APROBADO
Pancha Leon Audaz,405368X,633093,APROBADO
Francisco Ballena Sigiloso,651818X,169109,APROBADO
Maria Leon Sigiloso,54771X,376871,APROBADO
Francisco Ballena Gigante,882708X,897139,APROBADO
Coty Leon Sigiloso,726679X,408619,APROBADO
Pepe Huemul Sigiloso,457671X,875026,APROBADO
Juan Condor Gigante,766630X,361597,APROBADO
Juan Condor Austral,234867X,258358,APROBADO
Lucho Perro Noble,998276X,571846,APROBADO
Sacha Condor Salvage,470740X,744847,RECHAZADO (Riesgo Salud/Financiero)
Pepe Puma Gigante,483873X,806690,RECHAZADO (Riesgo Salud/Financiero)
Juan Puma Salvage,413335X,788391,APROBADO
Juan Perro Salvage,992454X,781548,APROBADO
Pepe Leon Austral,369433X,77240,APROBADO
Maria Nutria Rojo,24848X,119725,RECHAZADO (Riesgo Salud/Financiero)
Maria Condor Noble,385234X,207755,APROBADO
Pepe Ballena Audaz,217541X,225974,APROBADO
Sacha Perro Austral,323590X,275238,APROBADO
Pancha Condor Sigiloso,828476X,736748,RECHAZADO (Riesgo Salud/Financiero)
Coty Zorro Veloz,702934X,46760,RECHAZADO (Riesgo Salud/Financiero)
Lucho Zorro Veloz,903524X,110067,RECHAZADO (Riesgo Salud/Financiero)
Francisco Gato Audaz,914853X,303109,APROBADO
Matias Condor Rojo,628885X,870791,APROBADO
Sacha Leon Austral,893470X,689048,APROBADO
Pancha Ballena Gigante,156614X,299488,APROBADO
Lucho Huemul Austral,207231X,773967,APROBADO
Pepe Perro Noble,974703X,285347,APROBADO
Maria Ballena Rojo,612507X,766884,APROBADO
Pepe Leon Gigante,466283X,342742,RECHAZADO (Riesgo Salud/Financiero)
Maria Gato Rojo,848185X,494984,APROBADO
Pancha Condor Salvage,416034X,97919,APROBADO
Coty Condor Rojo,650155X,649973,APROBADO
Lucho Nutria Audaz,688918X,344757,RECHAZADO (Riesgo Salud/Financiero)
Lucho Huemul Gigante,518970X,522173,APROBADO
Matias Huemul Gigante,365862X,682953,APROBADO
Pancha Leon Gigante,489144X,284906,APROBADO
Sacha Gato Audaz,125894X,783920,APROBADO
Sacha Nutria Gigante,244470X,317926,APROBADO
Sacha Perro Sigiloso,958025X,244006,APROBADO
Pepe Puma Sigiloso,516213X,134459,APROBADO
Pancha Leon Audaz,548807X,899800,APROBADO
Pancha Gato Veloz,124026X,347578,APROBADO
Sacha Huemul Audaz,525306X,135134,RECHAZADO (Riesgo Salud/Financiero)
Sacha Zorro Sigiloso,747427X,591392,APROBADO
Pepe Huemul Austral,901880X,822056,RECHAZADO (Riesgo Salud/Financiero)
Lucho Leon Rojo,524950X,650077,APROBADO
Maria Huemul Audaz,867674X,465298,APROBADO
Coty Nutria Salvage,850814X,343942,RECHAZADO (Riesgo Salud/Financiero)
Sacha Leon Salvage,694295X,680469,RECHAZADO (Riesgo Salud/Financiero)
Matias Ballena Sigiloso,856409X,241433,APROBADO
